host,op,level,threads,pin_cpu,numa,iter,seconds,freq_n,freq_min_mhz,freq_p50_mhz,freq_p90_mhz,freq_max_mhz,freq_mean_mhz
hpcserver,decompress,19,1,0,0,5,0.18118998408317566,36,3749.413,3751.0625,3751.821,3756.01,3751.1249166666666
hpcserver,decompress,19,1,0,0,6,0.18082732055336237,36,3748.667,3750.3895,3750.9725,3753.715,3750.4495555555554
hpcserver,decompress,19,1,0,0,7,0.1814974956214428,36,3747.152,3750.0575,3750.865,3753.681,3750.117361111111
hpcserver,decompress,19,1,0,0,8,0.18099801614880562,36,3746.012,3750.304,3751.277,3752.752,3750.3150833333334
hpcserver,decompress,19,1,0,0,9,0.18189493007957935,36,3740.585,3749.908,3750.752,3755.571,3749.8486666666663
hpcserver,decompress,19,1,0,0,10,0.18170859199017286,36,3748.598,3749.6075,3750.1815,3753.835,3749.711111111111
hpcserver,decompress,19,1,0,0,11,0.1808780562132597,36,3747.526,3749.419,3750.3345,3753.322,3749.53475
hpcserver,decompress,19,1,0,0,12,0.1811558324843645,36,3738.535,3749.7645,3750.4095,3754.768,3749.636722222222
hpcserver,decompress,19,1,0,0,13,0.18165811616927385,36,3748.691,3749.735,3750.452,3751.372,3749.7988333333333
hpcserver,decompress,19,1,0,0,14,0.18132693879306316,36,3748.16,3749.665,3750.2515,3751.445,3749.6439166666664
hpcserver,decompress,19,1,0,0,15,0.18163560144603252,36,3748.85,3750.0535,3750.852,3753.802,3750.245222222222
hpcserver,decompress,19,1,0,0,16,0.182157083414495,36,3749.538,3750.5955,3751.2725,3761.923,3750.9559444444444
hpcserver,decompress,19,1,0,0,17,0.1809157831594348,36,3749.466,3750.5155,3751.0255,3755.757,3750.5533055555557
hpcserver,decompress,19,1,0,0,18,0.18139177560806274,36,3742.261,3750.4425,3751.246,3752.573,3750.1705
hpcserver,decompress,19,1,0,0,19,0.18065201863646507,36,3746.053,3750.9175,3751.5345,3753.939,3750.8540555555555
hpcserver,decompress,19,1,0,0,20,0.18050341494381428,36,3747.228,3751.2235,3751.7655,3755.999,3751.237527777778
hpcserver,decompress,22,1,0,0,1,0.2196676768362522,43,3745.648,3751.142,3751.9564,3755.376,3751.1216279069768
hpcserver,decompress,22,1,0,0,2,0.21735056675970554,43,3749.257,3750.322,3750.984,3756.395,3750.561069767442
hpcserver,decompress,22,1,0,0,3,0.21757567394524813,43,3748.326,3749.876,3750.673,3755.512,3750.1226976744188
hpcserver,decompress,22,1,0,0,4,0.21727371122688055,43,3734.144,3749.658,3750.8366,3754.036,3749.6147209302326
hpcserver,decompress,22,1,0,0,5,0.21598671283572912,43,3734.103,3750.054,3751.2477999999996,3755.389,3749.9557906976743
hpcserver,decompress,22,1,0,0,6,0.2166152149438858,43,3736.347,3749.96,3750.81,3755.136,3749.795046511628
hpcserver,decompress,22,1,0,0,7,0.21618573181331158,43,3749.001,3750.163,3751.1376,3755.637,3750.5661860465116
hpcserver,decompress,22,1,0,0,8,0.21655227057635784,43,3748.274,3749.933,3750.6504,3753.458,3750.0217209302327
hpcserver,decompress,22,1,0,0,9,0.21669866051524878,43,3736.401,3750.362,3751.083,3756.257,3750.1168139534884
hpcserver,decompress,22,1,0,0,10,0.21686433907598257,43,3743.018,3749.777,3750.4204,3755.453,3749.742906976744
hpcserver,decompress,22,1,0,0,11,0.21630149520933628,43,3748.848,3750.223,3751.3066,3754.545,3750.413534883721
hpcserver,decompress,22,1,0,0,12,0.21681699715554714,43,3748.702,3749.774,3750.5986000000003,3754.736,3750.0463720930234
hpcserver,decompress,22,1,0,0,13,0.21677976194769144,43,3748.689,3750.037,3750.8566,3754.914,3750.2371395348837
hpcserver,decompress,22,1,0,0,14,0.21693251002579927,43,3745.16,3749.991,3750.608,3755.402,3750.0817209302327
hpcserver,decompress,22,1,0,0,15,0.2160969777032733,43,3748.336,3750.525,3751.2718,3757.294,3750.6583255813957
hpcserver,decompress,22,1,0,0,16,0.21747955027967691,43,3739.854,3750.806,3751.5332000000003,3755.756,3750.763395348837
hpcserver,decompress,22,1,0,0,17,0.21532416064292192,42,3740.331,3750.7845,3751.6859,3755.454,3750.651880952381
hpcserver,decompress,22,1,0,0,18,0.2162938630208373,43,3750.171,3751.137,3752.0582000000004,3755.596,3751.3218372093024
hpcserver,decompress,22,1,0,0,19,0.21563380490988493,42,3742.369,3751.075,3751.9537,3753.916,3750.933
hpcserver,decompress,22,1,0,0,20,0.21603022888302803,43,3750.167,3751.466,3752.051,3755.86,3751.5031627906974
