host,op,level,threads,pin_cpu,numa,iter,seconds,freq_n,freq_min_mhz,freq_p50_mhz,freq_p90_mhz,freq_max_mhz,freq_mean_mhz
gnr-bkc,decompress,19,1,0,0,5,0.31056059800903313,62,3899.647,3900.0,3900.2847,3900.352,3900.016112903226
gnr-bkc,decompress,19,1,0,0,6,0.3033639809873421,60,3899.649,3900.0,3900.039,3900.391,3900.0024
gnr-bkc,decompress,19,1,0,0,7,0.3009390679944772,60,3899.647,3900.0,3900.039,3900.352,3900.0024
gnr-bkc,decompress,19,1,0,0,8,0.30740711800171994,61,3899.648,3900.0,3900.039,3900.351,3900.022180327869
gnr-bkc,decompress,19,1,0,0,9,0.30880217799858656,61,3899.647,3900.0,3900.039,3900.313,3899.9920655737706
gnr-bkc,decompress,19,1,0,0,10,0.30810822699277196,61,3899.648,3900.0,3900.039,3900.391,3900.0105737704916
gnr-bkc,decompress,19,1,0,0,11,0.30357460700906813,60,3899.647,3900.0,3900.039,3900.351,3899.98605
gnr-bkc,decompress,19,1,0,0,12,0.3032417600043118,60,3899.648,3900.0,3900.039,3900.352,3900.012816666667
gnr-bkc,decompress,19,1,0,0,13,0.3078668939997442,61,3899.648,3900.0,3900.039,3900.352,3899.9940819672133
gnr-bkc,decompress,19,1,0,0,14,0.3115290910063777,62,3899.687,3900.0,3900.3472,3900.354,3900.0496451612903
gnr-bkc,decompress,19,1,0,0,15,0.30451571199228056,60,3899.648,3900.0,3900.039,3900.391,3899.9653
gnr-bkc,decompress,19,1,0,0,16,0.30809414900431875,61,3899.647,3900.0,3900.273,3900.352,3900.006901639344
gnr-bkc,decompress,19,1,0,0,17,0.3040004020003835,60,3899.609,3900.0,3900.351,3900.352,3900.0219666666667
gnr-bkc,decompress,19,1,0,0,18,0.30683814198710024,61,3899.647,3900.0,3900.312,3900.391,3899.9754426229506
gnr-bkc,decompress,19,1,0,0,19,0.3025668170012068,60,3899.647,3900.0,3900.3167999999996,3900.39,3900.0211833333333
gnr-bkc,decompress,19,1,0,0,20,0.30906663900532294,61,3899.647,3900.0,3900.273,3900.351,3899.9856393442624
gnr-bkc,decompress,22,1,0,0,1,0.4122899949870771,82,3899.647,3900.0,3900.039,3900.352,3899.9969024390243
gnr-bkc,decompress,22,1,0,0,2,0.3334505899983924,66,3899.648,3900.0,3900.039,3900.352,3900.0075151515152
gnr-bkc,decompress,22,1,0,0,3,0.3235225899989018,64,3899.647,3900.0,3900.039,3900.352,3900.002875
gnr-bkc,decompress,22,1,0,0,4,0.3208248089940753,64,3899.609,3900.0,3900.2418,3900.352,3899.999109375
gnr-bkc,decompress,22,1,0,0,5,0.31271430299966596,62,3899.647,3900.0,3900.2886000000003,3900.391,3899.991564516129
gnr-bkc,decompress,22,1,0,0,6,0.32191893199342303,64,3899.687,3900.0,3900.3396000000002,3900.391,3900.048734375
gnr-bkc,decompress,22,1,0,0,7,0.31738580600358546,63,3899.648,3900.0,3900.3042,3900.352,3900.00226984127
gnr-bkc,decompress,22,1,0,0,8,0.32924872600415256,65,3899.609,3900.0,3900.313,3900.391,3900.0015384615385
gnr-bkc,decompress,22,1,0,0,9,0.31947812499129213,63,3899.647,3900.0,3900.3127999999997,3900.352,3899.9835714285714
gnr-bkc,decompress,22,1,0,0,10,0.3180903640022734,63,3899.647,3900.0,3900.2738,3900.39,3900.004095238095
gnr-bkc,decompress,22,1,0,0,11,0.3262159079895355,65,3899.609,3900.0,3900.0624,3900.352,3899.9870923076924
gnr-bkc,decompress,22,1,0,0,12,0.31436670100083575,62,3899.648,3900.0,3900.039,3900.352,3899.983451612903
gnr-bkc,decompress,22,1,0,0,13,0.32390927099913824,64,3899.647,3900.0,3900.2769,3900.352,3899.97403125
gnr-bkc,decompress,22,1,0,0,14,0.3205259069945896,64,3899.647,3900.0,3900.2028,3900.352,3899.982
gnr-bkc,decompress,22,1,0,0,15,0.3223339239921188,64,3899.647,3900.0,3900.313,3900.352,3900.01134375
gnr-bkc,decompress,22,1,0,0,16,0.32855712999298703,65,3899.647,3900.0,3900.3126,3900.352,3900.014230769231
gnr-bkc,decompress,22,1,0,0,17,0.32218986499356106,64,3899.647,3900.0,3900.3127000000004,3900.39,3900.01075
gnr-bkc,decompress,22,1,0,0,18,0.32269110399647616,64,3899.648,3900.0,3900.273,3900.352,3900.024875
gnr-bkc,decompress,22,1,0,0,19,0.3142717880109558,62,3899.647,3900.0,3900.039,3900.351,3899.959387096774
gnr-bkc,decompress,22,1,0,0,20,0.3155518370040227,63,3899.648,3900.0,3900.039,3900.352,3899.966349206349
